tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
110-05583,US-50,WESTBOUND,MD-8/EXIT 37,MD,QUEEN ANNES,21666,38.97668,-76.3112,38.97822,-76.31761,0.360298,107.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+04358,US-50,EASTBOUND,MD-179/CAPE SAINT CLAIRE RD/EXIT 29,MD,ANNE ARUNDEL,21409,39.02376,-76.47081,39.02783,-76.45975,0.664266,234.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+04357,US-50,EASTBOUND,BAY DALE DR/FERGUSON RD/EXIT 28,MD,ANNE ARUNDEL,21409,39.01672,-76.48565,39.02217,-76.47414,0.723446,232.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+04356,US-50,EASTBOUND,MD-648/BALTIMORE ANNAPOLIS BLVD,MD,ANNE ARUNDEL,21409,39.01553,-76.48815,39.01644,-76.48622,0.121173,230.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+04355,US-50,EASTBOUND,MD-2/MD-450/RITCHIE HWY/EXIT 27,MD,ANNE ARUNDEL,21409,39.00911,-76.50126,39.0124,-76.4957,0.385431,228.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110-05589,US-50,WESTBOUND,DUNDEE AVE/EXIT 40B,MD,QUEEN ANNES,21619,38.97249,-76.25635,38.97339,-76.26212,0.316134,95.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110-07768,US-301,SOUTHBOUND,MD-304/RUTHSBURG RD,MD,QUEEN ANNES,21617,39.07962,-75.97924,39.02691,-76.02738,4.472048,31.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+04350,US-50,EASTBOUND,I-97/EXIT 21,MD,ANNE ARUNDEL,21035,38.96084,-76.65423,38.9841,-76.58627,4.105508,216.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110-05586,US-50,WESTBOUND,CASTLE MARINA RD/EXIT 39A,MD,QUEEN ANNES,21619,38.97568,-76.28142,38.9761,-76.28929,0.424003,101.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110P05593,US-50,EASTBOUND,CHESTER RIVER BEACH RD/EXIT 43B,MD,QUEEN ANNES,21638,38.96334,-76.2152,38.96264,-76.212,0.178556,266.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110-05585,US-50,WESTBOUND,MD-18/MAIN ST/EXIT 38,MD,QUEEN ANNES,21619,38.97607,-76.29017,38.9759,-76.29179,0.08783,103.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110-05588,US-50,WESTBOUND,PINEY RD/S PINEY RD/EXIT 40A,MD,QUEEN ANNES,21619,38.97356,-76.26314,38.97432,-76.26804,0.26839,97.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110P05591,US-50,EASTBOUND,MD-18/MAIN ST/EXIT 42,MD,QUEEN ANNES,21638,38.96839,-76.23787,38.96814,-76.2367,0.06517,262.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110-05587,US-50,WESTBOUND,DOMINION RD/EXIT 39B,MD,QUEEN ANNES,21619,38.9745,-76.26907,38.97558,-76.28028,0.607167,99.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110P05592,US-50,EASTBOUND,MD-18/MAIN ST/EXIT 43A,MD,QUEEN ANNES,21638,38.96478,-76.22171,38.96452,-76.22053,0.065876,264.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110P05590,US-50,EASTBOUND,MD-18/MAIN ST/EXIT 41,MD,QUEEN ANNES,21619,38.9724,-76.25769,38.97222,-76.25534,0.12685,260.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+04349,US-50,EASTBOUND,MD-424/DAVIDSONVILLE RD/EXIT 16,MD,ANNE ARUNDEL,21035,38.95575,-76.6867,38.95922,-76.6624,1.336449,214.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N05598,US-50,WESTBOUND,BEGIN FREEWAY,MD,QUEEN ANNES,21658,38.97502,-76.17456,38.9743,-76.17531,0.064001,78.0,America/New_York,P1.13,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N06203,US-301,SOUTHBOUND,MD-456/DEL RHODES AVE,MD,QUEEN ANNES,21658,38.98845,-76.15086,38.98755,-76.15355,0.157258,36.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N05597,US-50,WESTBOUND,NESBIT RD/EXIT 45B,MD,QUEEN ANNES,21658,38.96894,-76.18285,38.967410003931,-76.187029988209,0.248326,80.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N06205,US-301,SOUTHBOUND,MD-213/CENTREVILLE RD,MD,QUEEN ANNES,21617,39.01521,-76.07218,39.01462,-76.0802,0.432394,33.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110P08361,MD-404,WESTBOUND,MD-309/STARR RD/MAIN ST,MD,QUEEN ANNES,21657,38.92382,-75.95836,38.9238,-75.95921,0.045702,15.5,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N05599,US-301,SOUTHBOUND,US-50,MD,QUEEN ANNES,21658,38.98133,-76.16835,38.975020007594,-76.174559993108,0.5512,40.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110-04360,US-50,WESTBOUND,WHITEHALL RD/EXIT 31,MD,ANNE ARUNDEL,21409,39.02006,-76.41463,39.022039994519,-76.422139978958,0.425638,114.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110-04361,US-50,WESTBOUND,OCEANIC DR/EXIT 32,MD,ANNE ARUNDEL,21409,39.01364,-76.40724,39.01529,-76.4082,0.12509,112.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110-04362,US-50,WESTBOUND,WILLIAM P LANE BRIDGE TOLL PLAZA,MD,ANNE ARUNDEL,21409,39.0083,-76.40369,39.01303,-76.40686,0.36849,111.0,America/New_York,P3.16,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110P18282,MD-322,NORTHBOUND,US-50 (NORTH),MD,TALBOT,21601,38.7983,-76.06162,38.79907,-76.06083,0.068127,6.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+06360,US-50,WESTBOUND,MD-404/QUEEN ANNE HWY,MD,TALBOT,21601,38.80074,-76.06002,38.93904,-76.06246,9.55491,73.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+06361,US-50,WESTBOUND,MD-213/CENTREVILLE RD,MD,QUEEN ANNES,21658,38.93992,-76.06246,38.95431,-76.07783,1.422962,75.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110P04674,US-50,EASTBOUND,SEVERN RIVER BRIDGE,MD,ANNE ARUNDEL,21401,39.0032,-76.5065,39.00911,-76.50126,0.495784,227.0,America/New_York,P3.2,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+06362,US-50,WESTBOUND,MD-456/DEL RHODES AVE,MD,QUEEN ANNES,21658,38.95457,-76.0789,38.97957,-76.13904,3.708403,76.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+06363,US-50,WESTBOUND,US-301/BLUE STAR MEMORIAL HWY,MD,QUEEN ANNES,21658,38.98009,-76.14048,38.98133,-76.16835,1.525067,77.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+07291,MD-404,WESTBOUND,US-50/OCEAN GTWY,MD,QUEEN ANNES,21657,38.9238,-75.95921,38.93925,-76.062,5.647576,16.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N05594,US-50,WESTBOUND,STATION LN/VFW AVE/EXIT 44A,MD,QUEEN ANNES,21638,38.96182,-76.20389,38.96176,-76.20521,0.071258,86.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N05593,US-50,WESTBOUND,CHESTER RIVER BEACH RD/EXIT 43B,MD,QUEEN ANNES,21638,38.9629,-76.21202,38.96331,-76.21388,0.103844,88.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N05596,US-50,WESTBOUND,HESS RD/HISSEY RD/EXIT 45A,MD,QUEEN ANNES,21638,38.96569,-76.19194,38.96528,-76.19314,0.070402,82.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N05595,US-50,WESTBOUND,EVANS AVE/EXIT 44B,MD,QUEEN ANNES,21638,38.96372,-76.1976,38.96338,-76.19856,0.056662,84.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N05590,US-50,WESTBOUND,MD-18/MAIN ST/EXIT 41,MD,QUEEN ANNES,21619,38.97235,-76.25491,38.97249,-76.25635,0.077941,94.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N05592,US-50,WESTBOUND,MD-18/MAIN ST/EXIT 43A,MD,QUEEN ANNES,21638,38.96491,-76.2212,38.96506,-76.22194,0.041075,90.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N05591,US-50,WESTBOUND,MD-18/MAIN ST/EXIT 42,MD,QUEEN ANNES,21638,38.96818,-76.23623,38.96852,-76.23784,0.089633,92.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+18282,MD-322,NORTHBOUND,US-50 (NORTH),MD,TALBOT,21601,38.77828,-76.08517,38.7983,-76.06162,1.921169,5.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N07768,US-301,SOUTHBOUND,MD-304/RUTHSBURG RD,MD,QUEEN ANNES,21617,39.02691,-76.02738,39.0247,-76.03007,0.210206,31.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N05587,US-50,WESTBOUND,DOMINION RD/EXIT 39B,MD,QUEEN ANNES,21619,38.97558,-76.28028,38.97568,-76.28142,0.061611,100.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N05586,US-50,WESTBOUND,CASTLE MARINA RD/EXIT 39A,MD,QUEEN ANNES,21619,38.9761,-76.28929,38.97607,-76.29017,0.047304,102.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N05589,US-50,WESTBOUND,DUNDEE AVE/EXIT 40B,MD,QUEEN ANNES,21619,38.97339,-76.26212,38.97356,-76.26314,0.056025,96.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N05588,US-50,WESTBOUND,PINEY RD/S PINEY RD/EXIT 40A,MD,QUEEN ANNES,21619,38.97432,-76.26804,38.9745,-76.26907,0.056705,98.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+06358,US-50,WESTBOUND,CHAPEL RD,MD,TALBOT,21601,38.77739,-76.06015,38.79302,-76.06007,1.079742,70.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+06359,US-50,WESTBOUND,MD-322/EASTON PKWY,MD,TALBOT,21601,38.79302,-76.06007,38.79868,-76.06003,0.391007,71.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110-05600,US-301,SOUTHBOUND,MD-18/MAIN ST,MD,QUEEN ANNES,21658,38.98755,-76.15355,38.98576,-76.15875,0.305392,37.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110-04359,US-50,WESTBOUND,WHITEHALL RD/EXIT 30,MD,ANNE ARUNDEL,21409,39.02249,-76.42386,39.025879993058,-76.437769959647,0.782855,116.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N05583,US-50,WESTBOUND,MD-8/EXIT 37,MD,QUEEN ANNES,21666,38.97822,-76.31761,38.98013999748,-76.325689989509,0.453728,108.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N05582,US-50,WESTBOUND,WILLIAM PRESTON LANE BRIDGE,MD,QUEEN ANNES,21666,38.98446,-76.33931,38.991889980555,-76.371089911746,1.781977,109.001,America/New_York,P3.2,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N05585,US-50,WESTBOUND,MD-18/MAIN ST/EXIT 38,MD,QUEEN ANNES,21619,38.9759,-76.29179,38.974899996864,-76.302249970838,0.572435,104.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110N05584,US-50,WESTBOUND,THOMPSON CREEK RD/DUKE ST,MD,QUEEN ANNES,21666,38.97634,-76.30971,38.97668,-76.3112,0.083395,106.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110P06359,US-50,WESTBOUND,MD-322/EASTON PKWY,MD,TALBOT,21601,38.79868,-76.06003,38.80074,-76.06002,0.142306,72.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+08361,MD-404,WESTBOUND,MD-309/MAIN ST/STARR RD,MD,CAROLINE,21629,38.92066,-75.9366,38.92382,-75.95836,1.192,15.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110P04349,US-50,EASTBOUND,MD-424/DAVIDSONVILLE RD/EXIT 16,MD,ANNE ARUNDEL,21035,38.95922,-76.6624,38.960839998659,-76.654230010956,0.453384,215.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110+04674,US-50,EASTBOUND,SEVERN RIVER BRIDGE,MD,ANNE ARUNDEL,21401,38.99685,-76.5119,39.0032,-76.5065,0.525879,226.0,America/New_York,P3.2,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110P06362,US-50,WESTBOUND,MD-456/DEL RHODES AVE,MD,QUEEN ANNES,21658,38.97957,-76.13904,38.98009,-76.14048,0.085265,77.001,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110P06361,US-50,WESTBOUND,MD-213/CENTREVILLE RD,MD,QUEEN ANNES,21617,38.95431,-76.07783,38.95457,-76.0789,0.060246,75.5,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110P06360,US-50,WESTBOUND,MD-404/QUEEN ANNE HWY,MD,QUEEN ANNES,21658,38.93904,-76.06246,38.93992,-76.06246,0.060837,74.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110P07291,MD-404,WESTBOUND,US-50/OCEAN GTWY,MD,TALBOT,21679,38.93925,-76.062,38.93936,-76.06262,0.03417,17.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110P04358,US-50,EASTBOUND,MD-179/CAPE SAINT CLAIRE RD/EXIT 29,MD,ANNE ARUNDEL,21409,39.02783,-76.45975,39.0269,-76.44812,0.627999,235.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110P04359,US-50,EASTBOUND,WHITEHALL RD/EXIT 30,MD,ANNE ARUNDEL,21409,39.02608,-76.44008,39.02584,-76.4384,0.091681,237.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110P04356,US-50,EASTBOUND,MD-648/BALTIMORE ANNAPOLIS BLVD,MD,ANNE ARUNDEL,21409,39.01644,-76.48622,39.01672,-76.48565,0.036195,231.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110P04357,US-50,EASTBOUND,BAY DALE DR/FERGUSON RD/EXIT 28,MD,ANNE ARUNDEL,21409,39.02217,-76.47414,39.02376,-76.47081,0.209775,233.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110P04354,US-50,EASTBOUND,MD-70/ROWE BLVD/EXIT 24,MD,ANNE ARUNDEL,21401,38.99269,-76.51861,38.99685,-76.5119,0.466894,225.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
110P04355,US-50,EASTBOUND,MD-2/MD-450/RITCHIE HWY/EXIT 27,MD,ANNE ARUNDEL,21409,39.0124,-76.4957,39.01553,-76.48815,0.460776,229.0,America/New_York,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
